model,distance,dataset,mr_id,positive_distance,negative_distance,violated,base,positive,negative
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,0.245373,0.192395,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/all-MiniLM-L6-v2,euclidean,glue-qqp,MR3-Duplicate-Question,0.700532,0.620315,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/all-MiniLM-L6-v2,manhattan,glue-qqp,MR3-Duplicate-Question,10.709333,9.708607,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,0.364769,0.32899,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/all-MiniLM-L6-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,0.340521,0.314801,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,0.245376,0.192364,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,19.054781,17.130558,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.402346,0.393633,True,two women talk at a restaurant.,Two women are eating.,Two women hate being at restaurants.
sentence-transformers/all-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,0.897046,0.88728,True,two women talk at a restaurant.,Two women are eating.,Two women hate being at restaurants.
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.402384,0.393692,True,two women talk at a restaurant.,Two women are eating.,Two women hate being at restaurants.
