model,distance,total,violations,accuracy,violation_rate
BAAI/bge-base-en-v1.5,bray_curtis,2500,42,0.9832,0.0168
BAAI/bge-base-en-v1.5,cosine_distance,2500,39,0.9844,0.0156
BAAI/bge-base-en-v1.5,euclidean,2500,39,0.9844,0.0156
BAAI/bge-base-en-v1.5,lance_williams,2500,42,0.9832,0.0168
BAAI/bge-base-en-v1.5,mahalanobis,2500,53,0.9788,0.0212
BAAI/bge-base-en-v1.5,manhattan,2500,42,0.9832,0.0168
BAAI/bge-base-en-v1.5,pearson_correlation,2500,39,0.9844,0.0156
BAAI/bge-small-en-v1.5,bray_curtis,2500,50,0.98,0.02
BAAI/bge-small-en-v1.5,cosine_distance,2500,43,0.9828,0.0172
BAAI/bge-small-en-v1.5,euclidean,2500,43,0.9828,0.0172
BAAI/bge-small-en-v1.5,lance_williams,2500,50,0.98,0.02
BAAI/bge-small-en-v1.5,mahalanobis,2500,57,0.9772,0.0228
BAAI/bge-small-en-v1.5,manhattan,2500,45,0.982,0.018
BAAI/bge-small-en-v1.5,pearson_correlation,2500,43,0.9828,0.0172
intfloat/e5-small-v2,bray_curtis,2500,51,0.9796,0.0204
intfloat/e5-small-v2,cosine_distance,2500,49,0.9804,0.0196
intfloat/e5-small-v2,euclidean,2500,49,0.9804,0.0196
intfloat/e5-small-v2,lance_williams,2500,51,0.9796,0.0204
intfloat/e5-small-v2,mahalanobis,2500,77,0.9692,0.0308
intfloat/e5-small-v2,manhattan,2500,53,0.9788,0.0212
intfloat/e5-small-v2,pearson_correlation,2500,49,0.9804,0.0196
sentence-transformers/all-MiniLM-L6-v2,bray_curtis,2500,50,0.98,0.02
sentence-transformers/all-MiniLM-L6-v2,cosine_distance,2500,53,0.9788,0.0212
sentence-transformers/all-MiniLM-L6-v2,euclidean,2500,53,0.9788,0.0212
sentence-transformers/all-MiniLM-L6-v2,lance_williams,2500,50,0.98,0.02
sentence-transformers/all-MiniLM-L6-v2,mahalanobis,2500,60,0.976,0.024
sentence-transformers/all-MiniLM-L6-v2,manhattan,2500,50,0.98,0.02
sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,2500,53,0.9788,0.0212
sentence-transformers/all-distilroberta-v1,bray_curtis,2500,29,0.9884,0.0116
sentence-transformers/all-distilroberta-v1,cosine_distance,2500,31,0.9876,0.0124
sentence-transformers/all-distilroberta-v1,euclidean,2500,31,0.9876,0.0124
sentence-transformers/all-distilroberta-v1,lance_williams,2500,28,0.9888,0.0112
sentence-transformers/all-distilroberta-v1,mahalanobis,2500,34,0.9864,0.0136
sentence-transformers/all-distilroberta-v1,manhattan,2500,29,0.9884,0.0116
sentence-transformers/all-distilroberta-v1,pearson_correlation,2500,31,0.9876,0.0124
sentence-transformers/all-mpnet-base-v2,bray_curtis,2500,31,0.9876,0.0124
sentence-transformers/all-mpnet-base-v2,cosine_distance,2500,29,0.9884,0.0116
sentence-transformers/all-mpnet-base-v2,euclidean,2500,29,0.9884,0.0116
sentence-transformers/all-mpnet-base-v2,lance_williams,2500,29,0.9884,0.0116
sentence-transformers/all-mpnet-base-v2,mahalanobis,2500,39,0.9844,0.0156
sentence-transformers/all-mpnet-base-v2,manhattan,2500,30,0.988,0.012
sentence-transformers/all-mpnet-base-v2,pearson_correlation,2500,29,0.9884,0.0116
sentence-transformers/gtr-t5-base,bray_curtis,2500,116,0.9536,0.0464
sentence-transformers/gtr-t5-base,cosine_distance,2500,115,0.954,0.046
sentence-transformers/gtr-t5-base,euclidean,2500,115,0.954,0.046
sentence-transformers/gtr-t5-base,lance_williams,2500,114,0.9544,0.0456
sentence-transformers/gtr-t5-base,mahalanobis,2500,132,0.9472,0.0528
sentence-transformers/gtr-t5-base,manhattan,2500,113,0.9548,0.0452
sentence-transformers/gtr-t5-base,pearson_correlation,2500,114,0.9544,0.0456
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,2500,109,0.9564,0.0436
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,2500,111,0.9556,0.0444
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,2500,111,0.9556,0.0444
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,2500,108,0.9568,0.0432
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,2500,140,0.944,0.056
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,2500,110,0.956,0.044
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,2500,111,0.9556,0.0444
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,2500,123,0.9508,0.0492
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,2500,129,0.9484,0.0516
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,2500,129,0.9484,0.0516
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,2500,125,0.95,0.05
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,2500,141,0.9436,0.0564
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,2500,123,0.9508,0.0492
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,2500,129,0.9484,0.0516
sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,2500,146,0.9416,0.0584
sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,2500,146,0.9416,0.0584
sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,2500,149,0.9404,0.0596
sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,2500,147,0.9412,0.0588
sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,2500,176,0.9296,0.0704
sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,2500,146,0.9416,0.0584
sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,2500,146,0.9416,0.0584
sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,2500,53,0.9788,0.0212
sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,2500,51,0.9796,0.0204
sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,2500,48,0.9808,0.0192
sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,2500,53,0.9788,0.0212
sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,2500,61,0.9756,0.0244
sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,2500,53,0.9788,0.0212
sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,2500,51,0.9796,0.0204
sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,2500,42,0.9832,0.0168
sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,2500,42,0.9832,0.0168
sentence-transformers/paraphrase-mpnet-base-v2,euclidean,2500,44,0.9824,0.0176
sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,2500,42,0.9832,0.0168
sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,2500,57,0.9772,0.0228
sentence-transformers/paraphrase-mpnet-base-v2,manhattan,2500,45,0.982,0.018
sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,2500,42,0.9832,0.0168
thenlper/gte-small,bray_curtis,2500,57,0.9772,0.0228
thenlper/gte-small,cosine_distance,2500,51,0.9796,0.0204
thenlper/gte-small,euclidean,2500,51,0.9796,0.0204
thenlper/gte-small,lance_williams,2500,57,0.9772,0.0228
thenlper/gte-small,mahalanobis,2500,69,0.9724,0.0276
thenlper/gte-small,manhattan,2500,53,0.9788,0.0212
thenlper/gte-small,pearson_correlation,2500,51,0.9796,0.0204
