dataset,mr_id,model,distance,total,violations,accuracy
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,bray_curtis,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,cosine_distance,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,euclidean,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,lance_williams,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,manhattan,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-base-en-v1.5,pearson_correlation,500,6,0.988
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,BAAI/bge-small-en-v1.5,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,intfloat/e5-small-v2,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,bray_curtis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,cosine_distance,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,euclidean,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,lance_williams,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,manhattan,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-MiniLM-L6-v2,pearson_correlation,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,bray_curtis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,cosine_distance,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,euclidean,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,lance_williams,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,mahalanobis,500,5,0.99
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,manhattan,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-distilroberta-v1,pearson_correlation,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,bray_curtis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,cosine_distance,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,euclidean,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,lance_williams,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,mahalanobis,500,4,0.992
glue-mrpc,MR2-Paraphrase,sentence-transformers/all-mpnet-base-v2,manhattan,500,4,0.992
